name,cost,type,concealment,strain,effect,description
Aesthetic Augmentation Suite,50000,Body,Sight,2,Body sculpt and Cha bonus,"Any standard fleshmod can supply beauty, but an aesthetic augmentation suite provides not only a fleshmod's versatility, but tailored pheromones, vocal harmonizharmers, social cue triggers, and an absolutely inhuman visual perfection. Subjects gain a Charisma score of 14, or a +2 score bonus if already 14 or greater, up to a maximum of 18."
Assisted Glide System,50000,Body,Touch,2,Glide from high launch points,"Retractable nanofiber wings and integral boost jets allow a limited degree of flight for the user of this implant. When leaping from a high place, they gain a flight Move speed of 30m for up to two kilometers before being forced to land. Gaining altitude requires a Dex/ Exert skill check against difficulty 10, however, with failure forcing a landing, and the wings can't carry them more than twice as high as the height they jumped from. By deploying the boost jets and wings as an Instant action, the user can ignore up to a hundred meters of falling damage."
Banshee Module,30000,Body,Medical,1,Mimic voices and stun enemies,"Resonant cavities are designed into the user's torso, along with an advanced amplification system. They can reproduce any sound or voice they have heard before, and at maximum volume can be heard clearly up to five hundred meters away. Once per day, as a Main Action, this sound can be used to shatter normal glass in a ten-meter line in front of the user; creatures without ear protection in this area must make a Physical save or take 2d6 non-lethal damage."
Cybernetic Infrastructure Baseline,20000,Body,Medical,0,Gain Con 12 for cyber purposes,A set of standardized support implants provide a baseline degree of cyber-compatibility to a subject. They can ignore System Strain from cyber implants equal to 12 minus their Constitution score- so a PC with a Constitution of 9 could ignore three points worth of System Strain from cyber implants. PCs with a Con of 12 or more have no use for this system. 
Deadman Circuit,10000,Body,Sight,0.25,Fry cyber without access codes,A common corporate implant to discourage kidnapping and warelegging. Any attempt to remove any of the user's cyber without the right access codes will fry that hardware unless a difficulty 13 Int/Heal skill check is made. 
Dermal Armor/Trauma Shielding,100000,Body,Medical,1,Add +1 to user's Trauma Target,"A system that can only be installed on a user with at least one level of Dermal Armor, the trauma shielding addition adds +1 to the user's Trauma Target. This benefit stacks with any existing Dermal Armor bonus to the roll."
Emergency Stabilization Factor,30000,Body,Medical,1,Automatically stabilize,"When brought to zero hit points by an injury that does not instantly kill them, the user automatically stabilizes, gaining one System Strain, and will regain consciousness at the end of the scene with 1 hit point. If they are already at maximum strain, this cyberware does not function."
Fleshmod,20000,Body,Medical,1,Completely rework your body,"Careful surgery and support implants allow for a complete physical remolding within generally humanoid lines, including alterations of sex, height, cosmetic limbs such as tails or decorative ears, and overall weight. Reproductive ability is not conferred, but rumors persist of experimental mods that can grant even that."
Full Body Conversion,6000000,Body,Sight,0,Become a full body cyborg,"The user's brain and central nervous system are transplanted into a cutting-edge synthetic shell at a cost and difficulty as if this cyber took 4 System Strain. Once converted, the subject has an effective Constitution of 20 for System Strain purpose, but cannot be healed by conventional first aid or medical drugs, requiring ten minutes of repair work with a toolkit to repair any amount of damage, and $250 worth of parts for each hit point to be restored. A full conversion borg no longer requires food, water, air, or sleep, but each day without the latter adds one System Strain due to the mental stress. The conversion requires twelve hours of maintenance every two weeks, and missing it will result in the user's death in 2d6 days unless the omitted maintenance is performed. Current full-body conversion tech is unstable; after 1d4 years, the subject has a cumulative 5% death chance each year. Borgs do not take Major Injuries and gain a +6 bonus to their Trauma Target that stacks with existing bonuses."
Hemosynthetic Filter System,25000,Body,Medical,1,Immune to normal disease/toxin,"A wide-spectrum array of blood scrubbers, intake filters, and microbial barriers grants the user effective immunity to most natural diseases and non-synthetic toxins. Weaponized toxins and certain exotic natural afflictions can still affect the user, but they get a +2 bonus on all saving throws against them. The system automatically alerts the user if they have been exposed to a recognized disease or toxin, whether or not it affects them."
