name,type,cost,target,accessCost,selfTerminating,skillCheckMod,useAffects,description
File (Data),datafile,0,,0,False,0,"A file of data","A file of data, whether a text document, a video, a program, or something else. Consumes 1 memory"
Avatar,subject,500,Avatar,0,False,0,"Avatars and Demons","A cyberspace avatar, whether one adopted by a hacker who's jacked into the network or a Demon program standing guard there."
Barrier,subject,1000, Data,0,False,0,"Inter Node Barriers",A network node barrier that blocks avatars from passing through a network connection.
Camera,subject,500,Device,0,False,0,"Audiovisual sensors","Any device that transmits audiovisual information. Some defensive hardware has its own onboard camera, which is susceptible to this target, while the others rely on a separate device's input."
Cyber,subject,"1000",Cyber,0,False,0,"Cyberware of any kind","A cybernetic system in a visible subject within 30 meters with no significant obstacles to line of sight. Unlike most Subjects, it's not necessary for a hacker to manifest an avatar inside the target node to affect cyber systems; they can launch their program directly at it, and the system itself need not be visible on the target's body. Given the difficulty of affecting cyber wirelessly, many hackers prefer to use more specific Subjects for a +1 bonus, such as Nerve Cyber or Limb Cyber."
Datafile,subject,500,Data,0,False,0,"Files on servers","A datafile stored within a cyberspace location. While individual files may have very little actual data in them, the autoencryption functions and anti-tamper code they're wrapped in almost always take up a full unit of Memory per file ."
Door,subject,500,Device,0,False,0,"Physical doors/barriers","A physical door, shutter, hatch, or other barrier with an electronic lock or opening mechanism."
Drone,subject,1000,Device,0,False,0,"Drones of all kinds","A remote-controlled drone. The base difficulty is equal to 7 plus the operator's level or HD/3, rounded up, or 8 if it's not actively controlled. Like the Cyber Subject, it is not necessary to manifest in a drone's node to hack it wirelessly."
Machine,subject,500,Device,0,False,-1,"Unclassified devices","Security panels, factory machinery, electronic minefields, or any other hackable device not covered under an existing Subject. Its generality applies a +1 penalty to the security difficulty."
Program,subject,500,Program,0,False,0,"Active running program","hostile program, used most often with the Terminate verb to end the effects of an enemy hacker's programs prematurely."
Sensor,subject,500,Device,0,False,-1,"Any sensors at -1 penalty","Similar to the Camera element, this code block handles sensors of any kind, regardless of what they are intended to detect. The generality of the element decreases its efficiency, however, and it applies a +1 security difficulty penalty."
