name,cost,damage,isNonLethal,shock.dmg,shock.ac,range.normal,range.max,ammo.type,ammo.burst,ammo.suppress,ammo.max,ammo.value,stat,secondStat,encumbrance,trauma.die,trauma.rating,description
Light Pistol,200,1d6,False,0,0,10,80,ammo,False,False,15,15,dex,none,1,1d8,2,"Light and heavy pistols are categorized by the caliber of the bullet they fire. Some operators prefer the low recoil and high mag capacity possible with a low-caliber round, while others like to have a little more certainty in dropping the targets they hit."
Heavy Pistol,200,1d8,False,0,0,10,100,ammo,False,False,8,8,dex,none,1,1d6,3,"Light and heavy pistols are categorized by the caliber of the bullet they fire. Some operators prefer the low recoil and high mag capacity possible with a low-caliber round, while others like to have a little more certainty in dropping the targets they hit."
Advanced Bow,500,1d8,False,0,0,30,200,special,False,False,1,1,dex,none,2,1d8+1,3,"Advanced bows are used by a few specialists who prefer the near-silence that modern composites provide or the massive blood loss induced by a modern fractal broadhead carried on a fifty-gram arrow. This weapon can be reloaded with a Move action, or an On Turn if the user has at least Shoot-1 skill."
Rifle,1000,1d10+2,False,0,0,200,400,ammo,False,False,6,6,dex,none,2,1d8,3,"Rifles and combat rifles are similar semi-automatic tech, though the latter is equipped with a burst-fire selector and usually trades the range of a heavier caliber for the ability to carry more ammunition."
Combat Rifle,2500,1d12,False,0,0,100,300,ammo,True,False,30,30,dex,none,2,1d8,3,"Rifles and combat rifles are similar semi-automatic tech, though the latter is equipped with a burst-fire selector and usually trades the range of a heavier caliber for the ability to carry more ammunition."
Submachine Gun,2000,1d8,False,0,0,30,100,ammo,True,False,20,20,dex,none,1,1d6,2,"Submachine guns are popular for their small form factor and convenient burst fire, though like other burst-fire weaponry the corps frown heavily on civilian possession."
Shotgun,200,3d4,False,0,0,10,30,ammo,False,False,2,2,dex,none,2,1d10,3,"Shotguns of various stripes can be found under the counter of practically every bar and shop in a slum. Simple double-barrel models can be made by any home gunsmith with a pulse, but the finer tolerances and more elaborate machining of a burst-fire capable combat shotgun leaves them as a more selective product. Ranges and damages given are for shot shells; slugs double their normal and extreme ranges but apply a -1 penalty to hit rolls."
Semi-Auto Shotgun,1000,3d4,False,0,0,10,30,ammo,False,False,6,6,dex,none,2,1d10,3,"Shotguns of various stripes can be found under the counter of practically every bar and shop in a slum. Simple double-barrel models can be made by any home gunsmith with a pulse, but the finer tolerances and more elaborate machining of a burst-fire capable combat shotgun leaves them as a more selective product. Ranges and damages given are for shot shells; slugs double their normal and extreme ranges but apply a -1 penalty to hit rolls."
Combat Shotgun,3000,3d4,False,0,0,10,30,ammo,True,False,12,12,dex,none,2,1d10,3,"Shotguns of various stripes can be found under the counter of practically every bar and shop in a slum. Simple double-barrel models can be made by any home gunsmith with a pulse, but the finer tolerances and more elaborate machining of a burst-fire capable combat shotgun leaves them as a more selective product. Ranges and damages given are for shot shells; slugs double their normal and extreme ranges but apply a -1 penalty to hit rolls."
Sniper Rifle,3000,2d8,False,0,0,1000,2000,ammo,False,False,1,1,dex,none,2,1d10,4,"Sniper rifles are often nothing more than bolt-action rifles with expensive tuning and optics. If not fired from a rest in a prepared position, a sniper rifle's statistics are the same as a normal rifle. This weapon can be reloaded with a Move action, or an On Turn if the user has at least Shoot-1 skill."
Taser Pistol,500,1d8,True,0,0,10,15,ammo,False,False,2,2,dex,none,1,None,None,Taser pistols cover a family of ranged non-lethal weapons small and light enough to carry concealed. Most rely on tried-and-True electrical shocks to drop a target, they inflict non-lethal hit point damage and cannot make Traumatic Hits.
Automatic Rifle,10000,2d8,False,0,0,200,400,special,False,True,10,10,dex,none,4,1d10,3,"Automatic rifles include a large range of barely man-portable firearms designed to hurl vast amounts of lead through the air, and unlike smaller firearms, they can use suppressive fire if properly braced. Ammunition for these guns comes in belts or boxes. The mag rating reflects how many rounds the weapon can fire before needing a refill, with each 'round' costing $50 worth of ammunition. The compactness of their loaded magazines still only counts as one item, however."
Unarmed Attack,None,1d2,True,0,0,0,0,none,False,False,0,0,str,dex,0,1d6,1,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make."
Knife,20,1d4,False,1,15,10,20,none,False,False,0,0,str,dex,1,1d6,3,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make."
Club,None,1d4,True,1,18,10,20,none,False,False,0,0,str,none,1,1d6,2,"Knives, clubs, swords, and other simple melee weapons are available almost anywhere on the street. Particularly impoverished gangers sometimes fashion makeshift machetes and improvised shivs when better can’t be obtained. Such weapons are effectively free, but have a -1 penalty to hit and damage rolls due to their ungainly make."
